"group","person","url"
"THE BALL & CHAIN","JURGIS DIDŽIULIS","https://lt.wikipedia.org/wiki/Jurgis_Did%C5%BEiulis"
"THE BALL & CHAIN","ERICA QUINN JENNINGS",""
"THE BELKA","IVO ORAV",""
"THE BELKA","MARGIT PIHHUS",""
"THE BELKA","JANEK KIVI",""
"THE BELKA","RENE KÄRNER",""
"THE BELKA","MARIO KALDMAA",""
"THE BELKA","TÕNIS AARE",""
"THE BELKA","MEELIS LAIDVEE",""
"THE BELKA","OLLE NÕMM",""
"THE BELKA","ANDRES LAUR",""
"THE BELKA","AADU SITAPEA",""
"THE BELKA","RAIVO VÄLISTE",""
"THE BELKA","AIVO HINTS",""
"THE BELKA","JANEK VLASSOV",""
"THE BELKA","ANDRUS UUTSALU",""
"THE BELKA","RAUNO SGIRKA",""
"THE BELKA","AIVO PILISNER",""
"THE BELKA","MARVIN MITT",""
"THE BLUE DEVILS","СЯРГЕЙ СКРЫПНIЧЭНКА",""
"THE BOONDOCKS","HENDRIK TAMBERG",""
"THE BOONDOCKS","VILLEM SARAPUU",""
"THE BOONDOCKS","ROMET MÄGAR",""
"THE BOONDOCKS","KARL KEVAD",""
"THE BOOZE BAND","CLEM CLEMPSON",""
"THE BOOZE BAND","АРУТЮНОВ, НИКОЛАЙ РАФАЭЛЕВИЧ",""
"THE BOTTLE MAN","НИФАНТЬЕВ, АНТОН ВЛАДИМИРОВИЧ",""
"THE BURNS","АЛЕКСАНДР ЧИРКИН",""
"THE CLAYMAKERS","ANDRES KORROVITS",""
"THE CLAYMAKERS","KARL LAANEKASK","https://et.wikipedia.org/wiki/Karl_Laanekask"
"THE CLAYMAKERS","URMAS JAARMAN",""
"THE CLAYMAKERS","KADI KIHO",""
"THE CRAWLS","ДАША ГАВРИЛЮК",""
"THE CRAWLS","МАКСИМ ТОВСТИЙ",""
"THE CUCUMBERS","IVO FOMINS",""
"THE DARTZ","ДМИТРИЙ КУРЦМАН",""
"THE DARTZ","ИГОРЬ БУРМИСТРОВ",""
"THE DARTZ","ДМИТРИЙ ИГНАТОВ",""
"THE DARTZ","ДЕНИС РОЗОВ",""
"THE DARTZ","АРТЕМ ШАЛЫТ",""
"THE DARTZ","АННА ХОТИНА",""
"THE DARTZ","ВЛАДИМИР КОЗАЧЕК",""
"THE DARTZ","РОМАН СЛИВИНСКИЙ",""
"THE DARTZ","НАТАША КОТЛОВА",""
"THE DARTZ","АНДРЕЙ ХОХЛОВ",""
"THE DARTZ","ИГОРЬ СТАРОСТИН",""
"THE DARTZ","СЕРГЕЙ ЧИБИРЕВ",""
"THE DARTZ","АНТОН ГОРЕЛИКОВ",""
"THE DARTZ","КИРИЛЛ ПАНЬШИН",""
"THE DARTZ","АЛЕКСАНДР ПОПОВ",""
"THE DARTZ","О’ШЕЙ, НАТАЛЬЯ АНДРЕЕВНА",""
"THE DARTZ","НИКОЛАЙ ЕМЕЛЬЯНОВ",""
"THE DOGZ","АЛЕКСЕЙ ГОНЧАРОВ",""
"THE DOGZ","ЧАЛЫХ, КОНСТАНТИН АНАТОЛЬЕВИЧ",""
"THE DOGZ","СЕРГЕЙ ГОВОРУН",""
"THE ELECTROMASTERS","АЛЕКСЕЙ ЧЕРКАСОВ",""
"THE ELECTROMASTERS","БОРИС ЦИММЕР",""
"THE ELECTROMASTERS","ВАСИЛИЙ МОРОЗОВ",""
"THE FLOWERS OF ROMANCE","PEXTE PAXTER",""
"THE FLOWERS OF ROMANCE","ED EDINBURGH",""
"THE FLOWERS OF ROMANCE","ALLAN ANNUS",""
"THE FLOWERS OF ROMANCE","HENRY LEPPNURM",""
"THE FLOWERS OF ROMANCE","TEET TIBAR",""
"THE FLOWERS OF ROMANCE","ANNELI KADAKAS",""
"THE FLOWERS OF ROMANCE","TÕNU TRUBETSKY",""
"THE FLOWERS OF ROMANCE","REGINLEIF TRUBETSKY",""
"THE FLOWERS OF ROMANCE","RAUL SILLASTE",""
"THE FLOWERS OF ROMANCE","RAUL SILLASTE",""
"THE FLOWERS OF ROMANCE","HEDWIG ALLIKA",""
"THE FLOWERS OF ROMANCE","TOM BLACKPLAIT",""
"THE FLOWERS OF ROMANCE","ANTI NÕMMSALU",""
"THE FLOWERS OF ROMANCE","DAVE GOODMAN",""
"THE FLOWERS OF ROMANCE","BRUNO OJA",""
"THE FLOWERS OF ROMANCE","ROY STRIDER",""
"THE GITAS","ЧЕМЕРОВ ОЛЕКСАНДР ВАЛЕРIЙОВИЧ",""
"THE GOURISHANKAR","VLAD MJ WHINNER",""
"THE GOURISHANKAR","СВЕТОСЛАВ БОГДАНОВ",""
"THE GOURISHANKAR","JASON OFFEN",""
"THE GOURISHANKAR","ВЛАДИМИР РАСТОРГУЕВ",""
"THE GOURISHANKAR","ДМИТРИЙ УЛЯШЕВ",""
"THE GOURISHANKAR","АЛЛА ИЗВЕРСКАЯ",""
"THE GOURISHANKAR","АЛЕКСАНДР ВЕТХОВ",""
"THE GOURISHANKAR","НАИЛЬ МАКСОНОВ",""
"THE GOURISHANKAR","NOMY AGRANSON",""
"THE GOURISHANKAR","DORAN USHER",""
"THE GOURISHANKAR","ПАВЕЛ ГЕН",""
"THE GOURISHANKAR","CAT HEADY",""
"THE GRAND ASTORIA","АНДРЕЙ МЕДВЕДЬ",""
"THE GRAND ASTORIA","КАМИЛЬ ШАРАПОДИНОВ",""
"THE GRAND ASTORIA","АЛЬБЕРТ ВАРТАНОВ",""
"THE GRAND ASTORIA","МИХАИЛ ЛОПАКОВ",""
"THE GRAND ASTORIA","НИКОЛАЙ КУНАВИН",""
"THE GRAND ASTORIA","ИГОРЬ СУВОРОВ",""
"THE GRAND ASTORIA","МИХАИЛ БУКИН",""
"THE GRAND ASTORIA","ДАНИЛА ДАНИЛОВ",""
"THE GRAND ASTORIA","АЛЕКСАНДР ЧЕБОТАРЕВ",""
"THE GRAND ASTORIA","СЕРГЕЙ ПОДГОРНЫЙ",""
"THE GRAND ASTORIA","ФАРИД АЗИЗОВ",""
"THE GRAND ASTORIA","SANDRIS ŠĪRANTS",""
"THE GRAND ASTORIA","ДЕНИС АНТОНОВ",""
"THE GRASSHOPERS","СЕРГЕЙ ГОРУН",""
"THE HARDBILLY BUDDIES","КОРНИЕНКО, ВЛАДИМИР ВИТАЛЬЕВИЧ",""
"THE HARDKISS","ВАЛЕРIЙ БЕБКО",""
"THE HARDKISS","ПОЛЬ СОЛОНАР",""
"THE HARDKISS","РОМАН СКОРОБАГАТЬКО",""
"THE HARDKISS","ВIТАЛIЙ ОНIСКЕВИЧ",""
"THE HARDKISS","DJ KREECHY",""
"THE HARDKISS","ЮЛIЯ САНIНА",""
"THE HOBOS","ROLANDS ŪDRIS",""
"THE HOBOS","MĀRTIŅŠ BURKEVICS",""
"THE HOBOS","EGONS KRONBERGS",""
"THE HOBOS","VILNIS KRIEVIŅŠ",""
"THE INDIES","ДМИТРИЙ КУПЧИН",""
"THE JUMPIN' WHEELS","IGOR GOLOVENKO",""
"THE JUMPIN' WHEELS","PEETER KARO",""
"THE JUMPIN' WHEELS","ARTUR SKRÕPNIK",""
"THE KROLLS","ВИКТОР САНКОВ",""
"THE KROLLS","АНТОН ТУЛЬСКИЙ",""
"THE KROLLS","МАРИЯ АНДРЕЙЧИКОВА",""
"THE KROLLS","СЕРГЕЙ ГОРУН",""
"THE KROLLS","ЯНА ЧУДИТ",""
"THE LITTLE BLUES BAND","ГЕНАДЗЬ ДОРФМАН",""
"THE LITTLE BLUES BAND","АЛЯКСАНДР ВАНЬКЕВIЧ",""
"THE LITTLE BLUES BAND","РУСЛАН ПРАЎДА",""
"THE LITTLE BLUES BAND","IВАН МАРКАЎ",""
"THE LITTLE BLUES BAND","ЯЎГЕН САФОНЕНКА",""
"THE MANEKEN","МАКСИМ ШЕВЧЕНКО",""
"THE MANEKEN","АНДРIЙ ГАГАУЗ",""
"THE MANEKEN","ДЕНИС МАРИНКIН",""
"THE MANEKEN","ФIЛАТОВ ЄВГЕН ВОЛОДИМИРОВИЧ",""
"THE MATRIXX","АРКАДИН, ВАЛЕРИЙ АНДРЕЕВИЧ",""
"THE MATRIXX","БЕКРЕВ, КОНСТАНТИН МИХАЙЛОВИЧ",""
"THE MATRIXX","НИКОНОВ, АЛЕКСЕЙ ВАЛЕРЬЕВИЧ",""
"THE MATRIXX","ХАКИМОВ, ДМИТРИЙ АБДУЛОВИЧ",""
"THE MATRIXX","САМОЙЛОВ, ГЛЕБ РУДОЛЬФОВИЧ",""
"THE MESS","ЮРИЙ ШЕВЦОВ",""
"THE MESS","АНТОН ПАВЛИКОВ",""
"THE MESS","АЛЕКСАНДР ПАРАМОНОВ",""
"THE MESS","ПАВЕЛ ЧЕЧИКОВ",""
"THE METALS","JĀNIS JUBALTS",""
"THE MIDNIGHT","МИКАИЛ РАФИЕВ",""
"THE MIDNIGHT","ХАФИЗ БАХЫШОВ",""
"THE MIDNIGHT","КЯНАН АЛЕСКЕРОВ",""
"THE MIDNIGHT","ЛЕЙЛА ТУАЕВА",""
"THE MIDNIGHT","ТЕЙМУР ВЕЛИЕВ",""
"THE MIDNIGHT","АНДРЕЙ КУДИНОВ",""
"THE MIDNIGHT","ФЯРДИ РАМАЗАНОВ",""
"THE MIDNIGHT","ЗАРИНА САМЕДОВА",""
"THE MORNINGSIDE","ИЛЬЯ ЕГОРЫЧЕВ",""
"THE MUTILATOR","МИХАИЛ ВАСИН",""
"THE MUTILATOR","СЕРГЕЙ ТЮЛЬПАНОВ",""
"THE MUTILATOR","АНАТОЛИЙ ВЛАДИМИРОВ",""
"THE MUTILATOR","АЛЕКСАНДР МИГУНОВ",""
"THE NAMELESS CULT","РИШКО, ДМИТРИЙ ИВАНОВИЧ",""
"THE NEVERLAND","МАКСИМ АДЖИГИТОВ",""
"THE NEVERLAND","ЛЕОНТЬЕВ, АНДРЕЙ АНДРЕЕВИЧ",""
"THE NEVERLAND","МИХАИЛ НЕМИРОВСКИЙ",""
"THE NEVERLAND","ВАСИЛИЙ ИОНОВ",""
"THE NEVERLAND","АЛЕКСАНДР МАТАШКОВ",""
"THE NEVERLAND","СТАНИСЛАВ РЫБАЛКИН",""
"THE NOTEMAKERS","ИЛЬЯ ЛУГОВОЙ",""
"THE NOTEMAKERS","ЕЛЕНА ХАЛИЙ",""
"THE NOTEMAKERS","АНТОН ДАНИЛОВ",""
"THE NYMPH","SILVER LAADOGA",""
"THE NYMPH","KRISTO OTTER",""
"THE NYMPH","KASPAR BRANDT",""
"THE NYMPH","AARE LEPIKSAAR",""
"THE ONE","ДОМIШЕВСЬКИЙ РОСТИСЛАВ ЗДИСЛАВОВИЧ",""
"THE OZ","МИХАИЛ ПОЗДЕЕВ",""
"THE PIKES","КУРАЕВ, АНДРЕЙ НИКОЛАЕВИЧ",""
"THE PROJECT","ВАРДАНЯН, БАГРАТ РУБИКОВИЧ",""
"THE PROJECT","КАРАПЕТЯН, КАРЕН РАФАЭЛОВИЧ",""
"THE PROVOKERS","EWERT SUNDJA",""
"THE RATS","ВЛАДИСЛАВ КОРНИЛОВ",""
"THE RE-STONED","АЛЕКСАНДР РОМАНОВ",""
"THE RE-STONED","ИЛЬЯ ЛИПКИН",""
"THE RED SCARFS","КОРЗИНИН, НИКОЛАЙ ИВАНОВИЧ",""
"THE RETUSES","КИРИЛЛ НАЗАРОВ",""
"THE RETUSES","МИХАИЛ РОДИОНОВ",""
"THE SECOND BREATH BLUES BAND","ВОЛОДИМИР ГЕРАСИМОВИЧ",""
"THE SECOND BREATH BLUES BAND","ВОЛОДИМИР МИХАЛЬЧЕНКО",""
"THE SECOND BREATH BLUES BAND","ГРИГОРIЙ МАХНО",""
"THE SECOND BREATH BLUES BAND","ОЛЕКСАНДР КУЗНЄЦОВ",""
"THE SECOND BREATH BLUES BAND","СТАС ЛУЦЬКИЙ",""
"THE SECOND FACE","ДМИТРО БЕВЗЮК",""
"THE SECOND FACE","АНТОН МОРДАЧ",""
"THE SECOND FACE","КАТЕРИНА БАЛЯС",""
"THE SECOND FACE","АНДРIЙ СЮРКО",""
"THE SILICON","КАСТУСЬ КАЛЕСНIКАЎ",""
"THE SILICON","IГАР СУХАРУКАЎ",""
"THE SILICON","ЗМIЦЕР ПАПЛАЎСКI",""
"THE SOLD OUTS","DOMANTAS LUKOŠIUS",""
"THE SOLD OUTS","KIPRAS BRITKUS",""
"THE SOLD OUTS","MIKAS STANKEVIČIUS",""
"THE SOLD OUTS","ANDRIUS ŠINKŪNAS",""
"THE SOLD OUTS","STASYS URBONAS",""
"THE SOLD OUTS","MARIUS SURVILA",""
"THE SOUL SURFERS","ИГОРЬ НИКОЛАЕВ",""
"THE SOUL SURFERS","ИГОРЬ ЖУКОВСКИЙ",""
"THE SOUL SURFERS","АРТЕМ МИЛЛЕР",""
"THE SOUL SURFERS","РОМАН МИУССКИЙ",""
"THE SOUND POETS","NORMUNDS LUKŠA",""
"THE SOUND POETS","UNDĪNE BALODE",""
"THE SOUND POETS","INGARS VIĻUMS",""
"THE SOUND POETS","JĀNIS AIŠPURS",""
"THE SOUND POETS","GINTS BĪMANIS",""
"THE SOUND POETS","ANDŽEJS GRAUDS",""
"THE SPACE CAKES","КСЕНIЯ IВАСЬ",""
"THE SPACE CAKES","IГОР МЕЛЬНИК",""
"THE SPACE CAKES","ВЛАДИСЛАВ ЗЕЛIНСЬКИЙ",""
"THE SPACE CAKES","ОЛЕКСАНДР ДАНЬКОВ",""
"THE SPACE CAKES","АНТОН ЛЮЛIЧЕВ",""
"THE SUICIDER","МИХАИЛ ТАТАРИНОВ",""
"THE SUN","MEELIS TAUK",""
"THE SUN","JOHANNES LÕHMUS",""
"THE SUN","TANEL PADAR",""
"THE SUN","KASPAR KALLUSTE","https://et.wikipedia.org/wiki/Kaspar_Kalluste"
"THE SUN","TARVO VALM","https://et.wikipedia.org/wiki/Tarvo_Valm"
"THE SUN","TOMI RAHULA",""
"THE SUN","GERLI PADAR",""
"THE SUN","DANEL PANDRE","https://et.wikipedia.org/wiki/Danel_Pandre"
"THE SUN","PRIIT MÄGI",""
"THE SUN","JAANUS SALM",""
"THE SUN","TOOMAS RULL",""
"THE SUN","EIMEL KALJULAID",""
"THE SUN","BORISS HREBTUKOV",""
"THE SUN","ÜLO KRIGUL",""
"THE SWINDLERS","КУПЦОВ, ДЕНИС ВИТАЛЬЕВИЧ",""
"THE SWITCH","ДЕНИС БАЛОН",""
"THE SYNE","RAIDO LILLEBERG",""
"THE TEACHERS","ЕКАТЕРИНА БЕЛОБРОВА",""
"THE TOOBES","КОНСТАНТИН ПЫЖОВ",""
"THE TOOBES","СТАС ЛОМАКИН",""
"THE TOOBES","СТАС МУРАШКО",""
"THE TROMBONE SHOW","ВАЛЕНТИН ЛАКОДИН",""
"THE TROMBONE SHOW","МИХАИЛ ЖИЖИН",""
"THE TROMBONE SHOW","СЕРГЕЙ ГИМАЗЕТДИНОВ",""
"THE TROMBONE SHOW","АНТОН ГИМАЗЕТДИНОВ",""
"THE TROMBONE SHOW","ПИГАНОВ, МАКСИМ ВЛАДИМИРОВИЧ","https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D0%B3%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
"THE TROMBONE SHOW","АЛЕКСЕЙ ДЕНИСОВ",""
"THE TROMBONE SHOW","ЛЕВ КУШНИР",""
"THE TROMBONE SHOW","ЕЛЕНА ЦОЙ",""
"THE TUBERKULOITED","MARGUS JÜRIMA",""
"THE TUBERKULOITED","IVO ORAV","https://et.wikipedia.org/wiki/Ivo_Orav"
"THE TUBERKULOITED","INDREK RAADIK","https://et.wikipedia.org/wiki/Indrek_Raadik"
"THE TUBERKULOITED","SANDER METS","https://et.wikipedia.org/wiki/Sander_Mets"
"THE TUBERKULOITED","OLAV KUND",""
"THE TUBERKULOITED","MAIT VAIK",""
"THE TUBERKULOITED","MAREK PIIGERT",""
"THE TUBERKULOITED","ALAR AIGRO",""
"THE TUBERKULOITED","MEELIS TAUK",""
"THE TUBERKULOITED","ANDRUS UUTSALU",""
"THE TUBERKULOITED","MEELIS LAIDVEE",""
"THE TUBERKULOITED","EIMEL KALJULAID",""
"THE TURTELS","ВЛАДИСЛАВ КОРНИЛОВ",""
"THE TZAR","BRETORS",""
"THE TZAR","SVELT",""
"THE UCHPOCHMACK","ПАВЛО ШЕВЧУК",""
"THE UCHPOCHMACK","ЭЛЬДАР ТУГУШЕВ",""
"THE UCHPOCHMACK","ОКСАНА ГРИВИНА",""
"THE UCHPOCHMACK","БОРИС ИСТОМИН",""
"THE UCHPOCHMACK","АРТЕМ ТИЛЬДИКОВ",""
"THE UCHPOCHMACK","ДМИТРИЙ ЕМЕЛЬЯНОВ",""
"THE UCHPOCHMACK","АРТЕМ РАМАЗАНОВ",""
"THE UCHPOCHMACK","АРТУР РАМАЗАНОВ",""
"THE UCHPOCHMACK","ЗЕМФИРА",""
"THE UCHPOCHMACK","RENĀRS KAUPERS",""
"THE UCHPOCHMACK","КОСТЯ КУЛИКОВ",""
"THE UNB","ДМИТРИЙ АЛЕЙНИКОВ",""
"THE UNB","ИГОРЬ ВАСИЛЕВСКИЙ",""
"THE UNB","АЛЕКСАНДР ЛЕВКОВСКИЙ",""
"THE UNB","ДМИТРИЙ ДОЛЬНИК",""
"THE UNB","ЗМIЦЕР ДОЛЬНIК",""
"THE VEGAS","АЛИНА АНУФРИЕНКО",""
"THE VEGAS","СЕРГЕЙ ДЕНИСЕНКО",""
"THE VEGAS","СТАНИСЛАВ ДОРОШИН",""
"THE VEGAS","АНДРЕЙ ОВЧАРЕНКО",""
"THE WHEELS OF SORROW","ИЛЬЯ КУХИН",""
"THE WHEELS OF SORROW","ВЯЧЕСЛАВ СОКОЛОВ",""
"THE XYZ","МАКС СОРОКИН",""
"THE ВЙО","РОМАН ШАРКЕВИЧ",""
"THE ВЙО","ВАСИЛЬ СОЛОМ'ЯНИЙ",""
"THE ВЙО","КУВАЛДIН МИРОСЛАВ ДЖОНОВИЧ","https://uk.wikipedia.org/wiki/%D0%9A%D1%83%D0%B2%D0%B0%D0%BB%D0%B4%D1%96%D0%BD_%D0%9C%D0%B8%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2_%D0%94%D0%B6%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
"THE ВЙО","СЕРГIЙ ПIДКАУРА","https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%9F%D1%96%D0%B4%D0%BA%D0%B0%D1%83%D1%80%D0%B0"
"THE ВЙО","СЕРГIЙ ЧЕГОДАЄВ","https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%A7%D0%B5%D0%B3%D0%BE%D0%B4%D0%B0%D1%94%D0%B2"
"THE ВЙО","ОЛЕКСАНДР УНИЦЬКИЙ",""
"THE ВЙО","ДЕНИС ГРИЦЕНКО","https://uk.wikipedia.org/wiki/%D0%94%D0%B5%D0%BD%D0%B8%D1%81_%D0%93%D1%80%D0%B8%D1%86%D0%B5%D0%BD%D0%BA%D0%BE"
"THE ВЙО","IЛЛЯ КЛIМОВ",""
"THE КИКС","СЕРГЕЙ АРЗУМАНОВ",""
"THE ПАУКИ","АЛЕКСАНДР ТАНКЕВИЧ",""
"THE СКАZКИ","СЕРГЕЙ ДВОРЕЦКИЙ",""
"THE СКАZКИ","ОЛЕГ ОСАДЧИЙ",""
"THE СКАZКИ","САКМАРОВ, ОЛЕГ АДОЛЬФОВИЧ",""
"THE СКАZКИ","АЛЕКСЕЙ МИЧУГИН",""
"THE СКАZКИ","АКИМОВ, ПЕТР ВИТАЛЬЕВИЧ",""
"THE СКАZКИ","АЛЕКСАНДР СТЕМКОВСКИЙ",""
"THE СКАZКИ","ЛАРИСА СКОРЮКИНА",""
"THE СОГРАЖДАНЕ","АЛЕКСЕЙ БЕЛЯКОВ",""
"THE-PULSAR","СЕРГЕЙ НААН",""
"THE-PULSAR","АЛЕКСЕЙ БОЙЦОВ",""
"THE-PULSAR","АЛЕКСАНДР НЕВСКИЙ",""
"THE-PULSAR","ВАЛЕНТИНА ВЕКШИНА",""
"THE-PULSAR","АЛЕКСАНДР СУСЛОВ",""
"THE-PULSAR","ВЛАДИМИР СОКОУШИН",""
"THEODOR BASTARD","МАКС КОСТЮНИН",""
"THEODOR BASTARD","АЛЕКСЕЙ КУРАСОВ",""
"THEODOR BASTARD","ANDY VLADYCH",""
"THEODOR BASTARD","АЛЕКСЕЙ КАЛИНОВСКИЙ",""
"THEODOR BASTARD","АЛЕКСАНДР СТАРОСТИН",""
"THEODOR BASTARD","ТАРАС ФРОЛОВ",""
"THEODOR BASTARD","ЯНА ВЕВА",""
"THEOGONIA","РОМАН ПАНЬКО",""
"THEOGONIA","АРТЕМ ПРЕПЕЛИЦЯ",""
"THEOGONIA","ОЛЕКСАНДР БАБЛЕНЮК",""
"THEOGONIA","АНДРIЙ СЕРЕБРЯНСЬКИЙ",""
"THEOGONIA","ОЛЕКСАНДР ВIТИК",""
"THERR MAITZ","БОРИС ИОНОВ",""
"THERR MAITZ","НИКОЛАЙ САРАБЬЯНОВ",""
"THERR MAITZ","АРТЕМ ТИЛЬДИКОВ",""
"THERR MAITZ","БЕЛЯЕВ, АНТОН ВАДИМОВИЧ","https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8F%D0%B5%D0%B2,_%D0%90%D0%BD%D1%82%D0%BE%D0%BD_%D0%92%D0%B0%D0%B4%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87"
"THERR MAITZ","ВИКТОРИЯ ЖУК",""
"THERR MAITZ","ИЛЬЯ ЛУКАШЕВ",""
"THIEF","KRISTJAN KALLAS",""
"THIEF","JOEL KOPLI",""
"THIEF","EWERT SUNDJA",""
"THIEF","OTT KANGUR",""
"THROUGH","DLL",""
"THUNDERKRAFT","AMORTH",""
"THUNDERSTORM","ВЛАДИСЛАВ ВОРОНА",""
"THUNDERTALE","PAULIUS PETRAUSKAS",""
"THUNDERTALE","LAURYNAS BAŠKYS",""
"THUNDERTALE","JONAS CHOCKEVIČIUS",""
"THUNDERTALE","LAIMONAS STAŠKŪNAS",""
"THUNDERTALE","ANDRIUS MURAUSKAS",""
"THUNDERTALE","ARTŪRAS ŠILEIKIS-ŠILAS",""
"THY DISEASE","АРТЕМ СЕРДЮК",""
"TIGE KALA","RENX",""
"TIGE KALA","UMMU",""
"TIGE KALA","AARNE",""
"TIGE KALA","OLKA",""
"TIME IS UP","АЛЬБЕРТ ПОПОВ",""
"TIME IS UP","КОНСТАНТИН ШИЛОВСКИЙ",""
"TIME IS UP","ВИКТОР ТЕСЛЕР",""
"TIME IS UP","АЛЕКСЕЙ ПОПОВ",""
"TINAVIE","ВАЛЕНТИНА МАНЫШЕВА",""
"TINAVIE","ОЛЕГ МАРЯХИН",""
"TINAVIE","ДМИТРИЙ ФРОЛОВ",""
"TINAVIE","СЕРГЕЙ КАЛАЧЕВ",""
"TINAVIE","ДМИТРИЙ ЛОСЕВ",""
"TINAVIE","ДМИТРИЙ ЗИЛЬПЕРТ",""
"TINTAL","АСЯ СОРШНЕВА",""
"TINTAL","ЖЕЛАННАЯ, ИННА ЮРЬЕВНА",""
"TINTAL","СКЛЯР, АЛЕКСАНДР ФЕЛИКСОВИЧ",""
"TINTAL","ДМИТРИЙ ФРОЛОВ",""
"TINTAL","НИКОЛАЙ ДОБКИН",""
"TINTAL","АЛЕКСАНДР МИТКЕВИЧ",""
"TINTAL","ЕВГЕНИЙ ЛАПЕКИН",""
"TINTAL","ФЕДОР ВОСКРЕСЕНСКИЙ",""
"TINTAL","ЛАЗЕРСОН, ВЛАДИМИР БОРИСОВИЧ",""
"TINTAL","МАКСИМ СЕМЕНОВ",""
"TNVVNÜM","LENNART LENNUK",""
"TNVVNÜM","MIHKEL MAASING",""
"TNVVNÜM","EKKE VÄSTRIK",""
"TNVVNÜM","CAMERON DEVLIN",""
"TNVVNÜM","SVEN OESELG",""
"TNVVNÜM","TANEL VELLESTE",""
"TNVVNÜM","MARTIN PEIKEN",""
"TNVVNÜM","OLIVER KOIT",""
"TOE TAG","PAUL OJA",""
"TOE TAG","G-ENKA",""
"TOE TAG","HENRY KÕRVITS","https://et.wikipedia.org/wiki/Henry_K%C3%B5rvits"
"TOE TAG","MARKO ATSO",""
"TOE TAG","MAIK RÕNGELEP",""
"TOE TAG","ОЛЕГ КОСЮГИН",""
"TOE TAG","OLEG KOSJUGIN",""
"TOE TAG","TARVO VALM",""
"TOE TAG","REVO JÕGISALU","https://et.wikipedia.org/wiki/Revo_J%C3%B5gisalu"
"TOKIO","РОМАН ТИТЕНШТЕЙН",""
"TOKIO","ИЛЬЯ ШАПОВАЛОВ",""
"TOKIO","ИЛЬЯ ЯЗОВ",""
"TOKIO","МАКСИМ БОГОЯВЛЕНСКИЙ",""
"TOKIO","ТРАНСКИЙ, ДЕНИС МАРАТОВИЧ",""
"TOKIO","СЕРГЕЙ НЕНАШЕВ",""
"TOKIO","ЯРОСЛАВ МАЛЫЙ",""
"TOKIO","ДЕМЬЯН КУРЧЕНКО",""
"TOKIO","АЛЕКСАНДР РЫЖОВ",""
"TOMATO JAWS","АЛЛА МОСКОВКА",""
"TOMATO JAWS","DJ KEX",""
"TOMATO JAWS","НАТАЛIЯ ЖИЖЧЕНКО",""
"TOMATO JAWS","ОЛЕКСАНДР ЖИЖЧЕНКО",""
"TOMATO JAWS","ALEX JUNIOR",""
"TOMATO JAWS","PLAYONE",""
"TOO SAXY","KALLE KLEIN",""
"TOOMAPOJAD","AARE KREILIS",""
"TOOMAPOJAD","JAAN LOOT",""
"TOOMAPOJAD","TOIVO TASA",""
"TOONIKA","KOIT KAARISTU",""
"TOONIKA","BORIS LEHTLAAN",""
"TOP-DISPLAY!","НИКИТА ВАНЧАГОВ",""
"TOP-DISPLAY!","ДАНИЛ БЕЛОУСОВ",""
"TOP-DISPLAY!","ПАВЕЛ ТЕРЕНТЬЕВ",""
"TOP-DISPLAY!","МАКСИМ КАМЕНЩИКОВ",""
"TOP-DISPLAY!","АЛЕКСАНДР ДАНИЛОВ",""
"TOP-DISPLAY!","НИКИТА ГРИБАНОВ",""
"TOP-DISPLAY!","ПАВЕЛ ВОРОБЬЕВ",""
"TOP-DISPLAY!","СЕРГЕЙ ОГАРКОВ",""
"TORUPILLI JUSSI TRIO","CÄTLIN MÄGI",""
"TOTAL","АНАСТАСИЯ ЧЕРКУНОВА",""
"TOTAL","СТАНИСЛАВ АКСЕНОВ",""
"TOTAL","ИЛЬЯ АНДРУС",""
"TOTAL","МАРИНА ЧЕРКУНОВА",""
"TOTAL","АЛЕКСАНДР ГАВРИЛОВ",""
"TOXIC WASTE","ИЛЬЯ ЛЕОНОВИЧ КНАБЕНГОФ",""
"TOYS & NOYS","КОНДРАШКИН, АЛЕКСАНДР БОРИСОВИЧ",""
"TRACKTOR BOWLING","АЛЕКСАНДР КОНДРАТЬЕВ",""
"TRACKTOR BOWLING","ГЕВОРКЯН, ЛУСИНЭ АРКАДЬЕВНА","https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%B2%D0%BE%D1%80%D0%BA%D1%8F%D0%BD,_%D0%9B%D1%83%D1%81%D0%B8%D0%BD%D1%8D_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0"
"TRACKTOR BOWLING","ЛЕОНИД ГОЛУБЕВ",""
